filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name
743012982,WONDERS & WORRIES INC,2005911,0,922008,2022,202422779349301527
346570429,PAULDING COUNTY AGRICULTURAL,955983,177549,207008,2022,202422899349300737
340801375,Stark County Agricultural Society Inc,5000110,2074234,249188,2022,202412899349302421
841643835,IMPERIAL VALLEY REGIONAL OCCUPATIONAL,1013499,0,858194,2022,202422989349302167
231241290,YORK COUNTY AGRICULTURAL SOCIETY,9001465,1595171,123533,2022,202402869349300205
452450285,AGAPE CHRISTIAN SERVICES,637671,0,492408,2022,202442889349301404
146049022,HUDSON RIVER SLOOP CLEARWATER INC,1148833,0,648174,2022,202442899349301534
510178807,Center on Halsted,9690886,4016497,2191407,2022,202402979349301960
475313110,TRINITY CLASSICAL ACADEMY,2086382,189518,139018,2022,202422839349300247
132709329,WASHINGTON HEIGHTS CHILD CARE CENTER,790188,746090,0,2022,202442989349301644
061610849,NEW YORK ABORTION ACCESS FUND,1765656,151885,1302317,2022,202442849349302204
756047309,ROLLING PLAINS MANAGEMENT CORPORATION,31566027,28904336,18487,2022,202412849349300531
202810099,CITY OF ASYLUM,1398896,83000,1139089,2022,202402819349300040
391354038,FAMILY FORUM INC,6709699,6616396,0,2022,202422829349301107
911852210,PEOPLE'S TRANSIT,1039236,635170,173573,2022,202402889349301040
251886666,THE NATIVITY SCHOOL OF HARRISBURG,1253619,39798,1096956,2022,202402789349301410
042740838,COMMUNITY ACTION AGENCY OF SOMERVILLE,9707681,9430213,265913,2022,202432839349301618
141491879,ULSTER COUNTY COMMUNITY ACTION,6713855,6461311,219505,2022,202402899349302200
263428781,THE BROAD INSTITUTE INC,880260209,206015361,428367258,2022,202442819349302204
133277022,OLD OAKS FOUNDATION INC,394392,0,391608,2022,202432789349300028
351788116,ARTESIAN LITTLE LEAGUE INCORPORATED,286510,0,286502,2022,202422759349300617
222816550,Family Life Education Inc,370092,294592,75500,2022,202412759349300941
911930327,Bridge the Gap College Prep,2731675,33000,1630825,2022,202432919349300743
560857923,Greene Lamp,9247327,8747088,500239,2022,202402749349301435
371735822,CITY SERVE OF THE TRI-VALLEY,2652151,1418546,1230440,2022,202402749349301460
452848752,MILE HIGH KIDS AND COMMUNITY,5680494,4587464,1093010,2022,202412899349300346
756020405,THE OPPORTUNITY PLAN INC,6721123,0,1158789,2022,202402969349300535
911983749,PEDRO MARTINEZ FOUNDATION,838538,0,447726,2022,202432899349302088
850234167,COLFAX COUNTY SENIOR CITIZENS INC,1520216,1402156,5000,2022,202442899349302639
135562266,LINCOLN HALL,23211301,2590593,459235,2022,202442919349300649
741157849,FAMILY SERVICE CENTER OF GALVESTON,3455881,2191917,898595,2022,202422719349301757
850391823,FAITH ROOTS REPRODUCTIVE ACTION,3122827,0,3017478,2022,202422749349301477
208394433,TEXAS BLACK EXPO,779757,765584,14173,2022,202432989349300718
863020566,WUKCHUMNI TRIBE,267082,0,267082,2022,202432959349301603
650755522,LOCKS OF LOVE INC,845917,0,285902,2022,202442879349300409
942256991,MODESTO AFFILIATED CHURCH HOUSING CORP,23575268,740067,0,2022,202432839349301958
941156493,SOCIETY OF STVINCENT DE PAUL,8712729,2484833,3561460,2022,202432919349300233
