# Non-state 'UNIVERSITY OF ...' patterns (8,646 entries)
# Sorted by total donation amount (descending)
# Format: NAME	COUNT	TOTAL_DONATIONS

UNIVERSITY OF PRETORIA	42	11791698.0
UNIVERSITY OF DUBLIN FUND	68	11474174.0
University of the Ozarks	28	11133538.0
University of Mary	48	11124556.0
THE UNIVERSITY OF WESTERN AUSTRALIA	8	11066380.0
BEN-GURION UNIVERSITY OF THE NEGEV	24	10955994.0
LINCOLN UNIVERSITY OF PA	4	10936320.0
UNIVERSITY OF MOUNT UNION	300	10927526.0
Rutgers The State University of NJ	32	10896104.0
University of the Witwatersrand	46	10776000.0
University of TX MD Anderson Cancer Ctr	4	10702866.0
UNIVERSITY OF STELLENBOSCH	4	10600000.0
UNIVERSITY OF HOUSTON ATHLETICS	4	10589474.0
UNIVERSITY OF NORTH GEORGIA FOUNDAT	18	10472588.0
The Catholic University of America	42	10468106.0
UNIVERSITY OF NORTH TEXAS FOUNDATION INC	134	10457502.0
DIABETES RESEARCH INSTITUTE AT UNIVERSITY OF MIAMI	2	10418568.0
THE TRUSTEES OF THE UNIVERSITY OF P	6	10357368.0
University of St Thomas	210	10301072.0
UNIVERSITY OF TOLEDO FOUNDATION	228	10290938.0
UNIVERSITY OF WURZBURG	2	10279440.0
University of North Alabama	18	10261068.0
UNIVERSITY OF MIAMI SYLVESTER COMPREH CANCER CTR	4	10100000.0
THE UNIVERSITY OF BRIDGEPORT INC	24	10083410.0
THE UNIVERSITY OF AKRON FOUNDATION	82	10059006.0
UNIVERSITY OF NOTTINGHAM	16	10054560.0
UNIVERSITY OF NORTR DAME	4	10000000.0
THE BOARD OF TRUSTESS OF THE UNIVERSITY OF CHICAGO	2	10000000.0
UNIVERSITY OF CA - IRVINE	20	9784326.0
UNIVERSITY OF MIAMI SYLVESTER COMPREHENSIVE	2	9668590.0
UNIVERSITY OF ST ANDREWS AMERICAN FOUNDATION INC	90	9585412.0
University of Notre Dame Du Lac	66	9516592.0
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE	34	9436864.0
University of Central Florida Foundation	26	9355956.0
UNIVERSITY OF MOUNT OLIVE INC	44	9301452.0
CALIFORNIA UNIVERSITY OF PA	30	9142162.0
UNIVERSITY OF NORTH TEXAS FOUNDATION	150	9058004.0
UNIVERSITY OF SOUTHER	14	9036000.0
The Regents of the University of MI	8	9006206.0
BOARD OF TRUSTEES OF THE UNIVERSITY OF IL	4	8944482.0
UNIVERSITY OF ALBERTA	42	8864828.0
UNIVERSITY OF HAWAI'I FOUNDATION	40	8856774.0
UNIVERSITY OF MN FOUNDATION	206	8835148.0
THE UNIVERSITY OF TOLEDO FOUNDATION	222	8800980.0
WASHINGTON UNIVERSITY OF ST LOUIS	48	8773168.0
AMERICAN UNIVERSITY OF ARMENIA CORPORATION	120	8756370.0
University of Indianapolis	20	8684594.0
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	8	8584934.0
UNIVERSITY OF CINCINNATI RESEARCH INSTITUTE	22	8562654.0
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW	30	8526290.0
